"county","state","GEOID","rate"
"Callaway County","MO","29027",464.8
"Linn County","IA","19113",464.7
"Kershaw County","SC","45055",464.7
"Unicoi County","TN","47171",464.6
"Athens County","OH","39009",464.5
"Brevard County","FL","12009",464.4
"Hancock County","IN","18059",464.4
"Armstrong County","TX","48011",464.4
"Pike County","OH","39131",464.4
"Lincoln County","ID","16063",464.4
"Craven County","NC","37049",464.4
"Marathon County","WI","55073",464.3
"Montmorency County","MI","26119",464.3
"Jones County","IA","19105",464.2
"Deschutes County","OR","41017",464.2
"Androscoggin County","ME","23001",464.2
"Palo Alto County","IA","19147",464.2
"Tolland County","CT","09013",464.2
"Fond du Lac County","WI","55039",464.1
"Caddo Parish","LA","22017",463.9
"Johnson County","NE","31097",463.8
"Marion County","AL","01093",463.7
"La Crosse County","WI","55063",463.6
"Iowa County","IA","19095",463.6
"Ottawa County","OH","39123",463.6
"Henderson County","NC","37089",463.6
"Garland County","AR","05051",463.6
"Roane County","WV","54087",463.5
"Alachua County","FL","12001",463.5
"Worth County","GA","13321",463.4
"Wilson County","TN","47189",463.4
"Anson County","NC","37007",463.4
"McCurtain County","OK","40089",463.4
"Rabun County","GA","13241",463.3
"Greene County","GA","13133",463.3
"Brazoria County","TX","48039",463.3
"Washington County","VT","50023",463.2
"Gallia County","OH","39053",463.2
"Crawford County","AR","05033",463
"Henderson County","TX","48213",463
"Ada County","ID","16001",463
"Douglas County","WA","53017",462.9
"Howard County","TX","48227",462.9
"Monroe County","TN","47123",462.9
"Calhoun County","WV","54013",462.9
"Hendricks County","IN","18063",462.9
"Jackson Parish","LA","22049",462.8
"Clayton County","IA","19043",462.8
"Bradley County","AR","05011",462.8
"Yukon-Koyukuk Census Area","AK","02290",462.8
"Rockdale County","GA","13247",462.7
"Glacier County","MT","30035",462.7
"Yancey County","NC","37199",462.6
"Morehouse Parish","LA","22067",462.5
"Los Angeles County","CA","06037",462.5
"Castro County","TX","48069",462.5
"Cumberland County","NC","37051",462.4
"McDowell County","WV","54047",462.3
"Saginaw County","MI","26145",462.2
"Hardeman County","TN","47069",462.2
"Caroline County","MD","24011",462.2
"Union County","OH","39159",462.2
"Hemphill County","TX","48211",462.2
"Tama County","IA","19171",462.1
"Kaufman County","TX","48257",462.1
"Clatsop County","OR","41007",462.1
"Merrick County","NE","31121",462
"Hamilton County","TN","47065",462
"Placer County","CA","06061",462
"Gilmer County","WV","54021",462
"San Benito County","CA","06069",462
"Meigs County","TN","47121",461.9
"Johnson County","TX","48251",461.9
"Boone County","MO","29019",461.8
"Crawford County","WI","55023",461.8
"Burt County","NE","31021",461.8
"Tate County","MS","28137",461.6
"Lee County","SC","45061",461.6
"Appanoose County","IA","19007",461.6
"Edmunds County","SD","46045",461.5
"Jasper County","MS","28061",461.4
"Matanuska-Susitna Borough","AK","02170",461.3
"DeKalb County","GA","13089",461.2
"Floyd County","IN","18043",461.2
"Yuba County","CA","06115",461
"Nolan County","TX","48353",461
"Rosebud County","MT","30087",460.9
"Franklin County","VT","50011",460.9
"Linn County","OR","41043",460.8
"Lake County","MT","30047",460.8
"Warren County","TN","47177",460.7
"Santa Cruz County","CA","06087",460.7
"Knox County","ME","23013",460.6
"Clark County","WI","55019",460.6
"Warren County","MS","28149",460.6
"Windham County","VT","50025",460.5
"Pettis County","MO","29159",460.4
"Concordia Parish","LA","22029",460.4
"Twin Falls County","ID","16083",460.4
"Maui County","HI","15009",460.4
"Jefferson County","AL","01073",460.3
"Boise County","ID","16015",460.3
"Champaign County","OH","39021",460.2
"Harrison County","MO","29081",460.2
"Catawba County","NC","37035",460.1
"Sharkey County","MS","28125",460.1
"Lawrence County","OH","39087",460
"Fayette County","IA","19065",460
"Crawford County","IA","19047",460
"Shelby County","IA","19165",459.9
"Monterey County","CA","06053",459.9
"Franklin County","IA","19069",459.9
"Elbert County","GA","13105",459.9
"Kootenai County","ID","16055",459.8
"Switzerland County","IN","18155",459.7
"Tarrant County","TX","48439",459.7
"Greenwood County","SC","45047",459.6
"Benzie County","MI","26019",459.6
"San Diego County","CA","06073",459.6
"Twiggs County","GA","13289",459.6
"Marshall County","WV","54051",459.5
"Orange County","IN","18117",459.5
"Carbon County","UT","49007",459.4
"Hyde County","SD","46069",459.4
"Yell County","AR","05149",459.4
"Potter County","SD","46107",459.2
"Portage County","OH","39133",459.1
"Putnam County","GA","13237",459
"Montgomery County","TN","47125",459
"Gentry County","MO","29075",459
"Nez Perce County","ID","16069",458.9
"Henry County","IN","18065",458.9
"Caledonia County","VT","50005",458.9
"Fulton County","IN","18049",458.8
"Parker County","TX","48367",458.8
"Custer County","CO","08027",458.7
"Kingfisher County","OK","40073",458.5
"El Paso County","TX","48141",458.5
"Pend Oreille County","WA","53051",458.5
"Gosper County","NE","31073",458.5
"Union County","OR","41061",458.4
"Galveston County","TX","48167",458.4
"Etowah County","AL","01055",458.3
"Webster County","MO","29225",458.3
"Kent County","MD","24029",458.3
"Buena Vista County","IA","19021",458.3
"Randolph County","AL","01111",458.2
"Dallas County","AR","05039",458.2
"Haywood County","NC","37087",458.1
"Rutherford County","NC","37161",458.1
"Carter County","OK","40019",458.1
"Williamsburg County","SC","45089",458.1
"Benton County","WA","53005",458.1
"Hocking County","OH","39073",458
"Chatham County","GA","13051",458
"Washington County","TN","47179",458
"Somerset County","ME","23025",457.9
"Jefferson County","MO","29099",457.9
"Clermont County","OH","39025",457.9
"Owen County","IN","18119",457.9
"Clackamas County","OR","41005",457.9
"Talladega County","AL","01121",457.9
"Stillwater County","MT","30095",457.7
"St. James Parish","LA","22093",457.7
"Lampasas County","TX","48281",457.5
"Pleasants County","WV","54073",457.5
"Johnson County","IA","19103",457.5
"Long County","GA","13183",457.3
"Durham County","NC","37063",457.2
"Okanogan County","WA","53047",457.1
"Mason County","WV","54053",457.1
"Shelby County","TN","47157",457
"Luna County","NM","35029",456.8
"Dawson County","MT","30021",456.8
"Jefferson County","TX","48245",456.8
"Lincoln County","MS","28085",456.7
"Warrick County","IN","18173",456.7
"Deaf Smith County","TX","48117",456.7
"Lincoln County","NC","37109",456.6
"Rutherford County","TN","47149",456.6
"Benton County","IN","18007",456.5
"Alameda County","CA","06001",456.4
"Columbia County","FL","12023",456.4
"Crawford County","OH","39033",456.4
"Georgetown County","SC","45043",456.3
"Mellette County","SD","46095",456.3
"Perry County","AL","01105",456.3
"Clarke County","GA","13059",456.2
"Porter County","IN","18127",456.2
"DeWitt County","TX","48123",456.1
"Jefferson County","MT","30043",456.1
"Richmond County","GA","13245",456.1
"Evans County","GA","13109",456
"Hampton County","SC","45049",455.9
"Wayne County","TN","47181",455.9
"Humboldt County","CA","06023",455.8
"Oglethorpe County","GA","13221",455.7
"Ripley County","MO","29181",455.6
"Upshur County","WV","54097",455.6
"Fountain County","IN","18045",455.6
"Yellowstone County","MT","30111",455.6
"Macon County","NC","37113",455.5
"Coweta County","GA","13077",455.5
"Marshall County","MS","28093",455.4
"Lincoln County","NE","31111",455.3
"Walker County","TX","48471",455.3
"Yamhill County","OR","41071",455.2
"St. Clair County","MI","26147",455.2
"Saline County","AR","05125",455.1
"Ashe County","NC","37009",455.1
"Louisa County","IA","19115",454.9
"Chase County","NE","31029",454.9
"Union County","AR","05139",454.9
"Jasper County","IN","18073",454.9
"Newport County","RI","44005",454.8
"Blaine County","MT","30005",454.8
"Emmet County","IA","19063",454.8
"Pocahontas County","IA","19151",454.8
"Santa Barbara County","CA","06083",454.8
"Adams County","OH","39001",454.8
"Mineral County","WV","54057",454.7
"Yolo County","CA","06113",454.7
"Clarke County","MS","28023",454.7
"Fremont County","CO","08043",454.6
"Citrus County","FL","12017",454.6
"Tippecanoe County","IN","18157",454.5
"Sarpy County","NE","31153",454.5
"Umatilla County","OR","41059",454.4
"Cowlitz County","WA","53015",454.4
"Desha County","AR","05041",454.3
"Lamar County","TX","48277",454.3
"Minidoka County","ID","16067",454.2
"Tulsa County","OK","40143",454.2
"Randolph County","MO","29175",454.2
"Calhoun County","GA","13037",454.2
"Sebastian County","AR","05131",454.1
"Delaware County","NY","36025",454
"Bartholomew County","IN","18005",454
"Morrow County","OH","39117",453.9
"Pike County","GA","13231",453.9
"Flagler County","FL","12035",453.9
"Comanche County","TX","48093",453.8
"Colbert County","AL","01033",453.8
"Baldwin County","GA","13009",453.8
"Merced County","CA","06047",453.8
"Hughes County","OK","40063",453.7
"Conecuh County","AL","01035",453.7
"Livingston County","MO","29117",453.6
"Houston County","GA","13153",453.5
"El Dorado County","CA","06017",453.5
"Logan County","OH","39091",453.5
"Kosciusko County","IN","18085",453.4
"Oklahoma County","OK","40109",453.4
"Coosa County","AL","01037",453.4
"Chelan County","WA","53007",453.4
"Columbia County","WA","53013",453.3
"Medina County","OH","39103",453.3
"Natchitoches Parish","LA","22069",453.3
"Winston County","MS","28159",453.2
"Madison County","IN","18095",453.1
"Outagamie County","WI","55087",453.1
"Harper County","OK","40059",452.9
"Hernando County","FL","12053",452.9
"Dale County","AL","01045",452.8
"Darke County","OH","39037",452.7
"Charles Mix County","SD","46023",452.7
"Hitchcock County","NE","31087",452.5
"Wood County","WI","55141",452.5
"Guthrie County","IA","19077",452.4
"Paulding County","OH","39125",452.4
"Cherokee County","IA","19035",452.2
"Imperial County","CA","06025",452
"Lucas County","IA","19117",452
"Lavaca County","TX","48285",451.8
"Essex County","NY","36031",451.8
"Harlan County","NE","31083",451.8
"Dallas County","TX","48113",451.7
"Montgomery County","OH","39113",451.6
"Klamath County","OR","41035",451.5
"York County","SC","45091",451.5
"Robeson County","NC","37155",451.4
"Hamilton County","OH","39061",451.3
"Stanislaus County","CA","06099",451.1
"Manistee County","MI","26101",451.1
"Marion County","IN","18097",450.6
"Bradford County","FL","12007",450.5
"Franklin County","AL","01059",450.5
"Allen County","OH","39003",450.5
"Faulkner County","AR","05045",450.5
"Union County","IN","18161",450.4
"Natrona County","WY","56025",450.4
"Coffee County","GA","13069",450.3
"Clarke County","IA","19039",450.3
"Wake County","NC","37183",450.3
"Madison County","NE","31119",450.3
"Coahoma County","MS","28027",450.2
"Baldwin County","AL","01003",450.1
"Baker County","GA","13007",450
"Covington County","MS","28031",450
"Pike County","AL","01109",449.9
"Tuscaloosa County","AL","01125",449.9
"Fannin County","GA","13111",449.9
"Grady County","GA","13131",449.8
"Marion County","MS","28091",449.7
"Yadkin County","NC","37197",449.7
"Mecklenburg County","NC","37119",449.7
"Brown County","WI","55009",449.6
"Grant County","NE","31075",449.6
"Jackson County","AL","01071",449.6
"Mohave County","AZ","04015",449.5
"Nodaway County","MO","29147",449.5
"Lewis County","ID","16061",449.4
"White County","IN","18181",449.3
"Coshocton County","OH","39031",449.2
"Fairfield County","SC","45039",449.1
"Marengo County","AL","01091",449.1
"Prairie County","AR","05117",449
"Jackson County","MO","29095",448.9
"Dixie County","FL","12029",448.9
"Okmulgee County","OK","40111",448.9
"Irwin County","GA","13155",448.8
"Val Verde County","TX","48465",448.8
"Sampson County","NC","37163",448.6
"Pickaway County","OH","39129",448.6
"Richland County","SC","45079",448.6
"Milam County","TX","48331",448.6
"Niobrara County","WY","56027",448.6
"Tuscola County","MI","26157",448.5
"Cleveland County","OK","40027",448.4
"Limestone County","AL","01083",448.3
"Mineral County","MT","30061",448.2
"Hardee County","FL","12049",448.2
"Marquette County","WI","55077",448.1
"Richland Parish","LA","22083",448.1
"Lyman County","SD","46085",448.1
"Coos County","NH","33007",448.1
"Washington County","GA","13303",447.9
"Coos County","OR","41011",447.9
"Benton County","IA","19011",447.7
"Lamoille County","VT","50015",447.7
"Preble County","OH","39135",447.7
"Caldwell County","NC","37027",447.7
"Vinton County","OH","39163",447.6
"Hamilton County","IA","19079",447.6
"Boone County","IN","18011",447.6
"Covington County","AL","01039",447.5
"Perry County","OH","39127",447.5
"Haywood County","TN","47075",447.4
"Macon County","GA","13193",447.4
"Saline County","MO","29195",447.4
"Sheridan County","WY","56033",447.4
"Roosevelt County","MT","30085",447.3
"Codington County","SD","46029",447.3
"Arkansas County","AR","05001",447.3
"Crook County","OR","41013",447.2
"Knox County","NE","31107",447.2
"Charlevoix County","MI","26029",447.2
"Clay County","AR","05021",447.1
"Prince of Wales-Outer Ketchikan","AK","02201",447.1
"Montgomery County","AL","01101",446.9
"Young County","TX","48503",446.9
"Stark County","OH","39151",446.9
"Union County","MS","28145",446.9
"Kearney County","NE","31099",446.9
"Williamson County","TN","47187",446.8
"Lafayette County","MO","29107",446.8
"Coffee County","AL","01031",446.8
"Haskell County","OK","40061",446.7
"Nash County","NC","37127",446.6
"Adams County","MS","28001",446.6
"Jackson County","TN","47087",446.6
"Perry County","MO","29157",446.6
"Orange County","VT","50017",446.6
"Sabine County","TX","48403",446.5
"Quitman County","MS","28119",446.5
"Sullivan County","MO","29211",446.4
"Thayer County","NE","31169",446.3
"Osceola County","IA","19143",446.3
"Greene County","NC","37079",446.2
"Calumet County","WI","55015",446.2
"Cleburne County","AR","05023",446.2
"Putnam County","TN","47141",446.1
"Greene County","OH","39057",446
"Monroe County","WV","54063",446
"Cherokee County","NC","37039",446
"La Salle Parish","LA","22059",445.9
"Cole County","MO","29051",445.8
"Frederick County","MD","24021",445.8
"Lewis County","NY","36049",445.8
"Addison County","VT","50001",445.8
"Laramie County","WY","56021",445.7
"Howard County","IA","19089",445.6
"Juneau County","WI","55057",445.5
"Carroll County","IA","19027",445.5
"Waupaca County","WI","55135",445.4
"Glynn County","GA","13127",445.4
"Mendocino County","CA","06045",445.4
"Kalamazoo County","MI","26077",445.3
"Taylor County","FL","12123",445.3
"Cherokee County","TX","48073",445.3
"Kern County","CA","06029",445.2
"Smith County","TX","48423",445.2
"Montcalm County","MI","26117",445.2
"Jasper County","TX","48241",445.2
"Shelby County","AL","01117",445.1
"Jones County","MS","28067",445
"O'Brien County","IA","19141",445
"Fairfield County","OH","39045",444.9
"Walla Walla County","WA","53071",444.9
"Winston County","AL","01133",444.9
"Amite County","MS","28005",444.8
"Grant County","SD","46051",444.8
"Bristol County","RI","44001",444.8
"El Paso County","CO","08041",444.7
"Powell County","MT","30077",444.6
"Trempealeau County","WI","55121",444.6
"Autauga County","AL","01001",444.6
"Lawrence County","TN","47099",444.6
"Windsor County","VT","50027",444.5
"Clarke County","AL","01025",444.5
"Hardin County","TX","48199",444.5
"Jones County","GA","13169",444.3
"Childress County","TX","48075",444.3
"Barbour County","WV","54001",444.3
"Pueblo County","CO","08101",444.3
"Brule County","SD","46015",444.2
"Riverside County","CA","06065",444.2
"Fresno County","CA","06019",444.1
"Butler County","OH","39017",444.1
"Camden County","GA","13039",444
"Spink County","SD","46115",443.9
"Langlade County","WI","55067",443.7
"Cibola County","NM","35006",443.7
"Shawano County","WI","55115",443.7
"Baylor County","TX","48023",443.7
"Malheur County","OR","41045",443.6
"Sierra County","NM","35051",443.6
"Spokane County","WA","53063",443.6
"Victoria County","TX","48469",443.5
"Seneca County","OH","39147",443.4
"Allen County","IN","18003",443.4
"Gibson County","TN","47053",443.3
"Tallapoosa County","AL","01123",443.3
"Lincoln County","OR","41041",443.3
"Dare County","NC","37055",443.3
"Carroll County","MO","29033",443.3
"Huntington County","IN","18069",443.1
"Cascade County","MT","30013",443
"Wakulla County","FL","12129",443
"Ashley County","AR","05003",443
"Ross County","OH","39141",443
"Lewis and Clark County","MT","30049",442.9
"Mahoning County","OH","39099",442.9
"Windham County","CT","09015",442.8
"Johnston County","NC","37101",442.8
"Denton County","TX","48121",442.7
"Washtenaw County","MI","26161",442.7
"Warren County","IN","18171",442.7
"Wheeler County","TX","48483",442.5
"Fayette County","GA","13113",442.5
"San Jacinto County","TX","48407",442.5
"Delaware County","OH","39041",442.5
"Wabash County","IN","18169",442.5
"Sumter County","FL","12119",442.5
"Hawaii County","HI","15001",442.4
"Anchorage Borough","AK","02020",442.4
"Florence County","SC","45041",442.4
"Daviess County","MO","29061",442.3
"Queen Annes County","MD","24035",442.3
"Jefferson County","WI","55055",442.2
"Warren County","MO","29219",442.2
"Wright County","IA","19197",442.2
"Madison County","IA","19121",442.1
"Harrison County","IN","18061",442.1
"Dearborn County","IN","18029",442.1
"Stephens County","OK","40137",442
"Preston County","WV","54077",442
"Tom Green County","TX","48451",441.7
"Putnam County","IN","18133",441.7
"Defiance County","OH","39039",441.6
"Marshall County","AL","01095",441.5
"Washington County","OK","40147",441.5
"Union County","NC","37179",441.5
"Wharton County","TX","48481",441.5
"McMinn County","TN","47107",441.5
"Pontotoc County","MS","28115",441.4
"DeKalb County","IN","18033",441.4
"Cheboygan County","MI","26031",441.4
"Price County","WI","55099",441.3
"San Juan County","CO","08111",441.3
"Audubon County","IA","19009",441.1
"Brooks County","GA","13027",441.1
"Jackson County","OK","40065",441
"Tuscarawas County","OH","39157",441
"Guadalupe County","TX","48187",441
"Washakie County","WY","56043",440.9
"Cullman County","AL","01043",440.9
"Montgomery County","TX","48339",440.9
"Wilkes County","NC","37193",440.8
"Ellis County","TX","48139",440.8
"Montgomery County","NC","37123",440.8
"Lemhi County","ID","16059",440.7
"Fayette County","OH","39047",440.7
"Beadle County","SD","46005",440.6
"Jackson County","OR","41029",440.6
"Hart County","GA","13147",440.6
"Humboldt County","IA","19091",440.6
"Okaloosa County","FL","12091",440.5
"Gilmer County","GA","13123",440.5
"Duplin County","NC","37061",440.5
"Newton County","IN","18111",440.4
"Ochiltree County","TX","48357",440.3
"Prince Georges County","MD","24033",440.3
"Ashland County","OH","39005",440.3
"Dodge County","WI","55027",440.2
"Monongalia County","WV","54061",440.2
"Jerome County","ID","16053",440.2
"Custer County","OK","40039",439.9
"Johnson County","TN","47091",439.9
"Richland County","OH","39139",439.9
"Mitchell County","IA","19131",439.8
"Montague County","TX","48337",439.7
"Eastland County","TX","48133",439.7
"Cheyenne County","NE","31033",439.7
"Sutter County","CA","06101",439.6
"Alexander County","NC","37003",439.6
"Winnebago County","IA","19189",439.5
"Warren County","NC","37185",439.5
"Jenkins County","GA","13165",439.5
"Cape Girardeau County","MO","29031",439.5
"Carbon County","WY","56007",439.5
"Hardin County","TN","47071",439.4
"Sumter County","GA","13261",439.3
"Hertford County","NC","37091",439.2
"Prentiss County","MS","28117",439.1
"Union Parish","LA","22111",439.1
"Mercer County","OH","39107",438.9
"Amador County","CA","06005",438.9
"Garfield County","OK","40047",438.9
"Hutchinson County","TX","48233",438.8
"Clare County","MI","26035",438.7
"Madera County","CA","06039",438.6
"Sandusky County","OH","39143",438.6
"Antelope County","NE","31003",438.5
"McDuffie County","GA","13189",438.5
"Bates County","MO","29013",438.4
"Eau Claire County","WI","55035",438.4
"Wilson County","NC","37195",438.4
"Alcorn County","MS","28003",438.4
"Fort Bend County","TX","48157",438.3
"Calhoun County","SC","45017",438.2
"Wasco County","OR","41065",438.2
"Elkhart County","IN","18039",438.1
"Orleans Parish","LA","22071",438.1
"Miami County","OH","39109",438
"Kauai County","HI","15007",438
"Trinity County","CA","06105",438
"Allendale County","SC","45005",437.9
"Darlington County","SC","45031",437.8
"Monroe County","GA","13207",437.8
"Washington County","NC","37187",437.7
"Butte County","SD","46019",437.7
"Whitley County","IN","18183",437.7
"Yakima County","WA","53077",437.5
"Monroe County","IN","18105",437.5
"Daniels County","MT","30019",437.5
"Columbus County","NC","37047",437.5
"St. Johns County","FL","12109",437.5
"Pulaski County","IN","18131",437.4
"Independence County","AR","05063",437.4
"Sunflower County","MS","28133",437.4
"Hansford County","TX","48195",437.2
"Greene County","IN","18055",437.2
"Hutchinson County","SD","46067",437.1
"Orange County","NC","37135",437
"Morgan County","OH","39115",437
"Grant County","WA","53025",436.9
"Washington County","OR","41067",436.8
"Sumter County","AL","01119",436.8
"Greene County","MO","29077",436.7
"Summit County","OH","39153",436.7
"Franklin County","WA","53021",436.6
"Newton County","MS","28101",436.6
"Dawson County","TX","48115",436.6
"McLennan County","TX","48309",436.4
"Summit County","UT","49043",436.4
"Grant County","OK","40053",436.4
"Charles County","MD","24017",436.4
"Chambers County","TX","48071",436.2
"Jackson County","OH","39079",436.1
"Chouteau County","MT","30015",436.1
"Kay County","OK","40071",436
"Madison County","AL","01089",436
"Murray County","GA","13213",435.9
"Indian River County","FL","12061",435.9
"Banks County","GA","13011",435.8
"Wallowa County","OR","41063",435.7
"Buffalo County","NE","31019",435.6
"Columbia County","OR","41009",435.6
"Red River Parish","LA","22081",435.5
"Miami-Dade County","FL","12086",435.5
"Rock County","NE","31149",435.5
"Chowan County","NC","37041",435.3
"Judith Basin County","MT","30045",435.1
"Santa Rosa County","FL","12113",435.1
"Delaware County","IA","19055",435.1
"Del Norte County","CA","06015",434.9
"Bexar County","TX","48029",434.9
"Lauderdale County","MS","28075",434.9
"Montgomery County","GA","13209",434.9
"Laurens County","GA","13175",434.8
"Dane County","WI","55025",434.6
"Decatur County","TN","47039",434.6
"Nicholas County","WV","54067",434.5
"Dallas County","IA","19049",434.5
"Clark County","WA","53011",434.5
"Wilkinson County","GA","13319",434.4
"Dixon County","NE","31051",434.4
"Jefferson County","OR","41031",434.4
"Rio Blanco County","CO","08103",434.3
"Clinton County","IN","18023",434.2
"Posey County","IN","18129",434.2
"Madison County","OH","39097",433.9
"Seminole County","FL","12117",433.9
"Hardin County","OH","39065",433.9
"Rains County","TX","48379",433.8
"Thomas County","GA","13275",433.8
"Mecosta County","MI","26107",433.8
"Kings County","CA","06031",433.8
"Day County","SD","46037",433.7
"Sullivan County","IN","18153",433.7
"Door County","WI","55029",433.6
"Navarro County","TX","48349",433.6
"Lincoln County","ME","23015",433.5
"Macon County","MO","29121",433.5
"Caldwell Parish","LA","22021",433.5
"St. Joseph County","IN","18141",433.5
"Hill County","MT","30041",433.5
"Wrangell-Petersburg Census Area","AK","02280",433.4
"Limestone County","TX","48293",433.3
"Lafayette County","MS","28071",433.3
"Logan County","AR","05083",433.2
"Franklin County","MS","28037",433.2
"Franklin County","TX","48159",433.1
"Pinellas County","FL","12103",433.1
"St. Clair County","AL","01115",433
"Volusia County","FL","12127",433
"Howard County","MD","24027",433
"Aransas County","TX","48007",433
"Monroe County","MO","29137",432.9
"Miller County","AR","05091",432.9
"Marshall County","IN","18099",432.8
"Vanderburgh County","IN","18163",432.7
"Lawrence County","AR","05075",432.6
"Orleans County","VT","50019",432.6
"Wyoming County","WV","54109",432.6
"Gage County","NE","31067",432.5
"McNairy County","TN","47109",432.5
"Chesterfield County","SC","45025",432.5
"Dodge County","GA","13091",432.4
"Brantley County","GA","13025",432.3
"Monroe County","AL","01099",432.2
"Owyhee County","ID","16073",432.2
"Van Buren County","TN","47175",432.2
"St. Marys County","MD","24037",432.1
"Jackson County","WI","55053",432.1
"Box Butte County","NE","31013",432
"Pennington County","SD","46103",431.9
"Lake County","SD","46079",431.9
"Edgecombe County","NC","37065",431.8
"Whitfield County","GA","13313",431.7
"Perry County","IN","18123",431.7
"Escambia County","AL","01053",431.7
"Logan County","OK","40083",431.6
"Brookings County","SD","46011",431.5
"Treutlen County","GA","13283",431.5
"Alamosa County","CO","08003",431.5
"Craig County","OK","40035",431.3
"Crockett County","TN","47033",431.3
"Hancock County","MS","28045",431.2
"Carbon County","MT","30009",431.2
"Butler County","AL","01013",431.1
"Wichita County","TX","48485",431
"Lauderdale County","AL","01077",431
"Palm Beach County","FL","12099",431
"Powder River County","MT","30075",431
"Nacogdoches County","TX","48347",430.9
"Leon County","TX","48289",430.9
"Jefferson County","WV","54037",430.8
"Stephens County","TX","48429",430.8
"Hot Spring County","AR","05059",430.8
"Conway County","AR","05029",430.8
"Dent County","MO","29065",430.8
"Fisher County","TX","48151",430.7
"Miller County","MO","29131",430.7
"Chilton County","AL","01021",430.6
"Adair County","MO","29001",430.6
"Morrill County","NE","31123",430.4
"Comanche County","OK","40031",430.3
"Bertie County","NC","37015",430.2
"Grundy County","MO","29079",430.2
"Bryan County","OK","40013",430.2
"Wasatch County","UT","49051",430.2
"Antrim County","MI","26009",430.2
"DeSoto County","MS","28033",430.1
"Montezuma County","CO","08083",429.9
"Taney County","MO","29213",429.9
"New Hanover County","NC","37129",429.8
"Polk County","NE","31143",429.6
"Granite County","MT","30039",429.6
"Morgan County","WV","54065",429.5
"Van Zandt County","TX","48467",429.5
"Sanders County","MT","30089",429.5
"Weakley County","TN","47183",429.4
"Drew County","AR","05043",429.2
"Boone County","AR","05009",429.2
"Putnam County","MO","29171",429.2
"Platte County","MO","29165",429.2
"Deuel County","NE","31049",429.1
"Cass County","IN","18017",429.1
"Obion County","TN","47131",429.1
"Bastrop County","TX","48021",429
"Geauga County","OH","39055",428.9
"Kewaunee County","WI","55061",428.8
"Rockwall County","TX","48397",428.8
"Wayne County","WV","54099",428.8
"Cherokee County","AL","01019",428.7
"Scotts Bluff County","NE","31157",428.6
"Wayne County","MS","28153",428.5
"Caddo County","OK","40015",428.5
"Morgan County","MO","29141",428.4
"Teller County","CO","08119",428.4
"Decatur County","IN","18031",428.3
"Marquette County","MI","26103",428.3
"Matagorda County","TX","48321",428.3
"Karnes County","TX","48255",428.2
"Harrison County","TX","48203",428.2
"Gulf County","FL","12045",428
"Baker County","OR","41001",427.9
"Butler County","IA","19023",427.9
"Grafton County","NH","33009",427.8
"Tipton County","IN","18159",427.7
"Van Wert County","OH","39161",427.6
"Washington County","MO","29221",427.6
"Clay County","SD","46027",427.6
"Ringgold County","IA","19159",427.5
"Sioux County","IA","19167",427.5
"Boone County","IA","19015",427.4
"Huron County","MI","26063",427.4
"Washington County","NE","31177",427.3
"West Carroll Parish","LA","22123",427.3
"Lancaster County","SC","45057",427.3
"Benewah County","ID","16009",427.3
"Camden County","NC","37029",427.3
"Emanuel County","GA","13107",427.2
"Hood County","TX","48221",427.1
"Hill County","TX","48217",427.1
"Manitowoc County","WI","55071",427
"Bay County","MI","26017",427
"Kemper County","MS","28069",427
"Albany County","WY","56001",427
"Murray County","OK","40099",426.9
"Lake County","TN","47095",426.9
"Dubois County","IN","18037",426.8
"Adair County","IA","19001",426.8
"Schleicher County","TX","48413",426.7
"Assumption Parish","LA","22007",426.6
"Van Buren County","AR","05141",426.5
"Pontotoc County","OK","40123",426.5
"Chariton County","MO","29041",426.5
"Seminole County","OK","40133",426.3
"Braxton County","WV","54007",426.3
"Davis County","UT","49011",426.2
"Pottawatomie County","OK","40125",426
"Gladwin County","MI","26051",426
"Arapahoe County","CO","08005",425.9
"Love County","OK","40085",425.8
"Columbiana County","OH","39029",425.8
"Beaufort County","SC","45013",425.7
"Northampton County","NC","37131",425.7
"Presque Isle County","MI","26141",425.6
"Franklin County","FL","12037",425.6
"Marshall County","OK","40095",425.6
"Hood River County","OR","41027",425.5
"Miller County","GA","13201",425.5
"Clay County","TN","47027",425.5
"Collin County","TX","48085",425.5
"Ward County","TX","48475",425.4
"Choctaw County","OK","40023",425.3
"Denver County","CO","08031",425.2
"Saunders County","NE","31155",425.1
"Phelps County","MO","29161",425.1
"Okfuskee County","OK","40107",425.1
"Valley County","ID","16085",425.1
"Silver Bow County","MT","30093",425
"Nueces County","TX","48355",425
"Dillon County","SC","45033",424.9
"Chatham County","NC","37037",424.9
"Beckham County","OK","40009",424.8
"Lamar County","MS","28073",424.7
"Liberty County","TX","48291",424.6
"Dona Ana County","NM","35013",424.6
"Benton County","OR","41003",424.6
"Valley County","MT","30105",424.5
"Iron County","UT","49021",424.5
"Pike County","IN","18125",424.4
"Schoolcraft County","MI","26153",424.3
"Platte County","NE","31141",424.3
"Cass County","MO","29037",424.3
"Cooke County","TX","48097",424.3
"Humphreys County","MS","28053",424.2
"Lewis County","WA","53041",424.2
"San Luis Obispo County","CA","06079",424.2
"Green Lake County","WI","55047",424.2
"Hamilton County","NE","31081",424.2
"Brown County","IN","18013",424.1
"Hooker County","NE","31091",424
"Webb County","TX","48479",424
"Pierce County","NE","31139",423.9
"Harrison County","OH","39067",423.9
