"ID" "year" "host" "country" "temp" "precipitation" "elevation" "gold" "silver" "bronze" "population" "GDP" "participate" "medals" "athletes" "time"
"101" 11 1980 0 "Belgium " 42.3 76.1 694 0 0 0 9.859242 1.2707 1 0 3 1
"102" 11 1984 0 "Belgium " 42.3 76.1 694 0 0 0 9.855372 0.8354 1 0 4 2
"103" 11 1988 0 "Belgium " 42.3 76.1 694 0 0 0 9.901664 1.6192 1 0 4 3
"104" 11 1992 0 "Belgium " 42.3 76.1 694 0 0 0 10.045158 2.3088 1 0 5 4
"105" 11 1994 0 "Belgium " 42.3 76.1 694 0 0 0 10.115603 2.3914 1 0 5 5
"106" 11 1998 0 "Belgium " 42.3 76.1 694 0 0 1 10.203008 2.5051 1 1 1 6
"107" 11 2002 0 "Belgium " 42.3 76.1 694 0 0 0 10.332785 2.4465 1 0 6 7
"108" 11 2006 0 "Belgium " 42.3 76.1 694 0 0 0 10.547958 3.7919 1 0 4 8
"109" 11 2010 0 "Belgium " 42.3 76.1 694 0 0 0 10.895586 4.3242 1 0 8 9
"110" 11 2014 0 "Belgium " 42.3 76.1 694 0 0 0 11.128246 3.7919 1 0 7 10
"111" 12 1980 0 "Bermuda " 68.7 128.5 76 0 0 0 0.05467 1.1218 0 0 0 1
"112" 12 1984 0 "Bermuda " 68.7 128.5 76 0 0 0 0.056423 1.747 0 0 0 2
"113" 12 1988 0 "Bermuda " 68.7 128.5 76 0 0 0 0.058347 2.4253 0 0 0 3
"114" 12 1992 0 "Bermuda " 68.7 128.5 76 0 0 0 0.058595 2.867 1 0 1 4
"115" 12 1994 0 "Bermuda " 68.7 128.5 76 0 0 0 0.05932 3.1476 1 0 1 5
"116" 12 1998 0 "Bermuda " 68.7 128.5 76 0 0 0 0.060943 5.1372 1 0 1 6
"117" 12 2002 0 "Bermuda " 68.7 128.5 76 0 0 0 0.062912 6.2583 1 0 1 7
"118" 12 2006 0 "Bermuda " 68.7 128.5 76 0 0 0 0.064523 8.3913 1 0 1 8
"119" 12 2010 0 "Bermuda " 68.7 128.5 76 0 0 0 0.065124 8.8207 1 0 1 9
"120" 12 2014 0 "Bermuda " 68.7 128.5 76 0 0 0 0.064806 8.3913 1 0 1 10
"121" 13 1980 0 "Bolivia" 75 37 6542 0 0 0 5.368901 0.0845 1 0 3 1
"122" 13 1984 0 "Bolivia" 75 37 6542 0 0 0 5.900127 0.1046 1 0 3 2
"123" 13 1988 0 "Bolivia" 75 37 6542 0 0 0 6.481463 0.0709 1 0 7 3
"124" 13 1992 0 "Bolivia" 75 37 6542 0 0 0 7.123294 0.0792 1 0 4 4
"125" 13 1994 0 "Bolivia" 75 37 6542 0 0 0 7.463773 0.0801 0 0 0 5
"126" 13 1998 0 "Bolivia" 75 37 6542 0 0 0 8.150214 0.1043 0 0 0 6
"127" 13 2002 0 "Bolivia" 75 37 6542 0 0 0 8.84335 0.0894 0 0 0 7
"128" 13 2006 0 "Bolivia" 75 37 6542 0 0 0 9.517395 0.1203 0 0 0 8
"129" 13 2010 0 "Bolivia" 75 37 6542 0 0 0 10.156601 0.1935 0 0 0 9
"130" 13 2014 0 "Bolivia" 75 37 6542 0 0 0 10.496285 0.1203 0 0 0 10
"131" 14 1980 0 "Bosnia and Herzegovina " 38.7 68 2386 0 0 0 4.099903 NA 0 0 0 1
"132" 14 1984 0 "Bosnia and Herzegovina " 38.7 68 2386 0 0 0 4.263393 NA 0 0 0 2
"133" 14 1988 0 "Bosnia and Herzegovina " 38.7 68 2386 0 0 0 4.564265 NA 0 0 0 3
"134" 14 1992 0 "Bosnia and Herzegovina " 38.7 68 2386 0 0 0 4.143068 NA 0 0 0 4
